#first line number of ma number of ga
#all other lines lg10[ma[eV]] log10[gag[1/GeV]] Log10[ fh300_,fexc300,fHion300,fHeion300,fcont300] 
# when fi300 were not computed by DH, it was set to  fmax={0.8000, 0.0500, 0.1300, 0.0100 ,0.01000} to be able to deal with a regular grid in CLASS
# ma={5, 6, 7, 8, 10, 15, 20, 25, 30, 45, 50, 55, 60, 65, 70, 75, 80, 85, 90, 95, 100, 150, 200, 250, 300, 350, 400, 450, 500, 550, 600, 650, 700, 750, 800, 849, 899, 951}
# loga={-15., -14.7, -14.52, -14.4, -14.3, -14.22, -14.15, -14.1, -14.05, -14., -13.7, -13.52, -13.4, -13.3, -13.22, -13.15, -13.1, -13.05, -13., -12.7, -12.52, -12.4, -12.3, -12.22, -12.15, -12.1, -12.05, -12., -11.7, -11.52, -11.4, -11.3, -11.22, -11.15, -11.1, -11.05, -11., -10.3, -10.}

38	39

1.	-14.4	-87.18	-86.96	-86.89	-88.07	-0.0006519
1.176	-14.4	-87.38	-87.16	-87.1	-88.27	-0.0006519
1.301	-14.4	-87.48	-87.26	-87.2	-88.37	-0.0006519
1.398	-14.4	-87.58	-0.0006519	-87.3	-88.48	-87.69
1.477	-14.4	-1.288	-1.599	-0.04086	-5.046	-1.936
1.653	-14.4	-0.6584	-0.9702	-0.206	-4.417	-1.306
1.699	-14.4	-0.6089	-0.9205	-0.2389	-4.367	-1.257
1.74	-14.4	-0.5677	-0.8794	-0.2717	-4.326	-1.215
1.778	-14.4	-0.517	-0.8011	-0.3342	-4.107	-1.137
1.813	-14.4	-0.5051	-0.7662	-0.3609	-3.933	-1.103
1.845	-14.4	-0.4976	-0.7392	-0.383	-3.768	-1.076
1.875	-14.4	-0.4976	-0.7392	-0.383	-3.768	-1.076
1.903	-14.4	-0.4943	-0.7203	-0.3982	-3.615	-1.057
1.929	-14.4	-0.5027	-0.7047	-0.4026	-3.462	-1.042
1.954	-14.4	-0.5184	-0.6925	-0.3995	-3.314	-1.03
1.978	-14.4	-0.5184	-0.6925	-0.3995	-3.314	-1.03
2.	-14.4	-0.5278	-0.6741	-0.4064	-3.163	-1.013
2.176	-14.4	-0.5936	-0.6211	-0.4066	-2.475	-0.963
2.301	-14.4	-0.6267	-0.5907	-0.416	-2.177	-0.9382
2.398	-14.4	-0.6438	-0.5774	-0.4195	-2.064	-0.93
2.477	-14.4	-0.6488	-0.5719	-0.4226	-2.016	-0.9263
2.544	-14.4	-0.6529	-0.568	-0.4247	-1.979	-0.9241
2.602	-14.4	-0.6572	-0.5653	-0.4252	-1.948	-0.9237
2.653	-14.4	-0.6619	-0.5635	-0.4242	-1.926	-0.9241
2.699	-14.4	-0.6603	-0.5642	-0.4246	-1.917	-0.9255
2.74	-14.4	-0.6582	-0.565	-0.425	-1.909	-0.9274
2.778	-14.4	-0.6556	-0.5658	-0.4255	-1.902	-0.9289
2.813	-14.4	-0.6529	-0.5669	-0.426	-1.898	-0.9307
2.845	-14.4	-0.6492	-0.5675	-0.4274	-1.894	-0.9322
2.875	-14.4	-0.6436	-0.5678	-0.4309	-1.887	-0.9318
2.903	-14.4	-0.6377	-0.5682	-0.4345	-1.88	-0.9318
2.929	-14.4	-0.6323	-0.5685	-0.4381	-1.873	-0.9318
2.954	-14.4	-0.6269	-0.569	-0.4413	-1.866	-0.9318
2.978	-14.4	-0.6214	-0.5707	-0.4436	-1.858	-0.9329
0.699	-14.3	-86.88	-86.66	-86.59	-87.77	-0.0006519
0.7782	-14.3	-86.98	-86.76	-86.69	-87.87	-0.0006519
0.8451	-14.3	-87.05	-86.83	-86.76	-87.94	-0.0006519
0.9031	-14.3	-87.08	-86.86	-86.79	-87.97	-0.0006519
1.	-14.3	-87.18	-86.96	-86.89	-88.07	-0.0006519
1.176	-14.3	-87.38	-87.16	-87.1	-88.27	-0.0006519
1.301	-14.3	-87.48	-87.26	-87.2	-88.37	-0.0006519
